hbidkhehhfk	KELTAKUKKIA
hcld	Kirj
klc	Ari
khfai	Aalto
hbijcimmh	Kuopiossa
l	O
g	W
lhjeghhch	Backmanin
ecldhjhchi	kirjapaino
cfcliiic	SISÄLLYS
hlfahebeech	Keltakukkia
ciccabm	Sovitus
mlab	Petu
jhleh	parka
ebiehbemlaihah	Huokauksetonta
lheehbaah	rakkautta
bc	Ei
eimehhh	koskaan
dhjcih	Tapion
dihcm	jänis
hlach	Ketin
bhbahebggbffh	hautakummulla
ibchaaigbbmei	Luvattomuusko
chc	vai
lceim	rikos
hlfahebeech	Keltakukkia
kl	Ne
icha	ovat
elciih	kevään
lhmcgicmci	ensimäisiä
hbi	nuo
ejgjlfja	kömpelöt
hcbeehabiembcmla	niukkatuoksuiset
elfahebeha	keltakukat
kl	Ne
hibmlcha	nousevat
glfelch	melkein
mhgicbch	samoihin
hceicbch	aikoihin
ebch	kuin
hccaafdlh	niittyjen
hblgc	nurmi
dh	ja
dbblc	juuri
mcffich	silloin
ebch	kuin
figjjcmla	lämpöiset
elciaabbfla	kevättuulet
fbgclh	lumien
hffh	alla
flcihhlcmai	levänneistä
fhcbicmah	laihoista
lbimallhehlchh	ruosteenkarvaa
jicm	pois
bcicha	hiovat
chgh	Sama
ghhlgi	maaemo
mhgh	sama
ahcchhh	taivaan
mhkl	sade
mhgh	sama
jiccihjhcmal	päivänpaiste
hl	ne
mfhhfaaii	synnyttää
ebch	kuin
mbfiabiembcmla	sulotuoksuiset
elmih	kesän
ebehaech	kukatkin
hbi	nuo
bbbghhchh	huumaavan
abiembhmh	tuoksunsa
dh	ja
ficmahchh	loistavan
bfeigbiaihmh	ulkomuotonsa
ahech	takia
cbhcffba	ihaillut
dh	ja
lhehmalaba	rakastetut
ebeehmla	kukkaset
dicah	joita
ebeh	kuka
ahbhhmh	tahansa
gclfaiih	mieltään
cfhbbaahhemllh	ilahuttaakseen
gclflffiih	mielellään
jicgcc	poimii
jbaah	Mutta
hl	ne
icha	ovat
ebch	kuin
fbihhih	luonnon
bhldicalfgch	harjoitelmia
bbmcch	uusiin
dh	ja
cbhhhgjcch	ihanampiin
gbbhhiemcch	muunnoksiin
ccemc	Siksi
hccai	niitä
femchellahcmbbklmahhh	yksinkertaisuudestaan
dh	ja
chhacghaaigbbklmahhh	vaatimattomuudestaan
bbifcghaah	huolimatta
mbchcamlchcmchh	suvaitsevaisina
ehamlffhhh	katsellaan
bccia	Eivät
hl	ne
imhh	osaa
chfcah	valita
jhceehh	paikkaa
gcbch	mihin
hibmlcha	nousevat
kl	Ne
affafcia	tyytyvät
ehmchghhh	kasvamaan
jcbhjlfaidlh	pihapeltojen
